Weight,Coefficient
40.0,1.3437
40.05,1.3426
40.1,1.3415
40.15,1.3404
40.2,1.3393
40.25,1.3381
40.3,1.337
40.35,1.3359
40.4,1.3348
40.45,1.3337
40.5,1.3326
40.55,1.3315
40.6,1.3305
40.65,1.3294
40.7,1.3283
40.75,1.3272
40.8,1.3261
40.85,1.325
40.9,1.3239
40.95,1.3228
41.0,1.3217
41.05,1.3206
41.1,1.3195
41.15,1.3184
41.2,1.3174
41.25,1.3163
41.3,1.3152
41.35,1.3141
41.4,1.313
41.45,1.3119
41.5,1.3109
41.55,1.3098
41.6,1.3087
41.65,1.3076
41.7,1.3065
41.75,1.3054
41.8,1.3043
41.85,1.3033
41.9,1.3022
41.95,1.3011
42.0,1.3001
42.05,1.299
42.1,1.2979
42.15,1.2969
42.2,1.2958
42.25,1.2947
42.3,1.2936
42.35,1.2926
42.4,1.2915
42.45,1.2904
42.5,1.2894
42.55,1.2883
42.6,1.2873
42.65,1.2862
42.7,1.2851
42.75,1.2841
42.8,1.283
42.85,1.282
42.9,1.2809
42.95,1.2799
43.0,1.2788
43.05,1.2777
43.1,1.2767
43.15,1.2756
43.2,1.2746
43.25,1.2736
43.3,1.2725
43.35,1.2715
43.4,1.2704
43.45,1.2694
43.5,1.2684
43.55,1.2673
43.6,1.2662
43.65,1.2652
43.7,1.2642
43.75,1.2631
43.8,1.2621
43.85,1.261
43.9,1.26
43.95,1.259
44.0,1.258
44.05,1.2569
44.1,1.2559
44.15,1.2548
44.2,1.2538
44.25,1.2528
44.3,1.2518
44.35,1.2508
44.4,1.2497
44.45,1.2487
44.5,1.2477
44.55,1.2467
44.6,1.2457
44.65,1.2446
44.7,1.2436
44.75,1.2426
44.8,1.2416
44.85,1.2406
44.9,1.2396
44.95,1.2384
45.0,1.2373
45.05,1.2364
45.1,1.2355
45.15,1.2345
45.2,1.2335
45.25,1.2325
45.3,1.2315
45.35,1.2305
45.4,1.2295
45.45,1.2285
45.5,1.2275
45.55,1.2265
45.6,1.2255
45.65,1.2245
45.7,1.2235
45.75,1.2225
45.8,1.2215
45.85,1.2205
45.9,1.2195
45.95,1.2185
46.0,1.2175
46.05,1.2165
46.1,1.2156
46.15,1.2146
46.2,1.2136
46.25,1.2126
46.3,1.2116
46.35,1.2106
46.4,1.2097
46.45,1.2087
46.5,1.2077
46.55,1.2067
46.6,1.2058
46.65,1.2048
46.7,1.2038
46.75,1.2028
46.8,1.2019
46.85,1.2009
46.9,1.2
46.95,1.199
47.0,1.198
47.05,1.197
47.1,1.1961
47.15,1.1951
47.2,1.1942
47.25,1.1932
47.3,1.1922
47.35,1.1913
47.4,1.1904
47.45,1.1894
47.5,1.1884
47.55,1.1875
47.6,1.1865
47.65,1.1856
47.7,1.1846
47.75,1.1837
47.8,1.1827
47.85,1.1818
47.9,1.1809
47.95,1.1799
48.0,1.179
48.05,1.178
48.1,1.1771
48.15,1.1761
48.2,1.1752
48.25,1.1743
48.3,1.1733
48.35,1.1724
48.4,1.1715
48.45,1.1705
48.5,1.1696
48.55,1.1687
48.6,1.1678
48.65,1.1668
48.7,1.1659
48.75,1.165
48.8,1.1641
48.85,1.1631
48.9,1.1622
48.95,1.1613
49.0,1.1604
49.05,1.1594
49.1,1.1585
49.15,1.1576
49.2,1.1568
49.25,1.1558
49.3,1.1549
49.35,1.154
49.4,1.1531
49.45,1.1522
49.5,1.1513
49.55,1.1504
49.6,1.1495
49.65,1.1486
49.7,1.1477
49.75,1.1468
49.8,1.1459
49.85,1.145
49.9,1.1441
49.95,1.1432
50.0,1.1423
50.05,1.1414
50.1,1.1405
50.15,1.1396
50.2,1.1388
50.25,1.1379
50.3,1.137
50.35,1.1361
50.4,1.1352
50.45,1.1343
50.5,1.1334
50.55,1.1325
50.6,1.1317
50.65,1.1308
50.7,1.1299
50.75,1.129
50.8,1.1282
50.85,1.1273
50.9,1.1264
50.95,1.1255
51.0,1.1247
51.05,1.1238
51.1,1.123
51.15,1.1221
51.2,1.1212
51.25,1.1203
51.3,1.1195
51.35,1.1186
51.4,1.1178
51.45,1.1169
51.5,1.1161
51.55,1.1152
51.6,1.1144
51.65,1.1135
51.7,1.1126
51.75,1.1118
51.8,1.111
51.85,1.1101
51.9,1.1093
51.95,1.1084
52.0,1.1076
52.05,1.1067
52.1,1.1059
52.15,1.105
52.2,1.1042
52.25,1.1033
52.3,1.1025
52.35,1.1017
52.4,1.1009
52.45,1.1
52.5,1.0992
52.55,1.0983
52.6,1.0975
52.65,1.0967
52.7,1.0959
52.75,1.0951
52.8,1.0942
52.85,1.0934
52.9,1.0926
52.95,1.0918
53.0,1.091
53.05,1.0901
53.1,1.0893
53.15,1.0885
53.2,1.0877
53.25,1.0869
53.3,1.0861
53.35,1.0852
53.4,1.0844
53.45,1.0836
53.5,1.0828
53.55,1.082
53.6,1.0812
53.65,1.0804
53.7,1.0796
53.75,1.0788
53.8,1.078
53.85,1.0772
53.9,1.0764
53.95,1.0756
54.0,1.0748
54.05,1.074
54.1,1.0732
54.15,1.0724
54.2,1.0716
54.25,1.0708
54.3,1.0701
54.35,1.0692
54.4,1.0684
54.45,1.0676
54.5,1.0669
54.55,1.0661
54.6,1.0653
54.65,1.0645
54.7,1.0638
54.75,1.063
54.8,1.0622
54.85,1.0614
54.9,1.0606
54.95,1.0598
55.0,1.0591
55.05,1.0583
55.1,1.0575
55.15,1.0568
55.2,1.0561
55.25,1.0553
55.3,1.0545
55.35,1.0537
55.4,1.053
55.45,1.0522
55.5,1.0514
55.55,1.0507
55.6,1.05
55.65,1.0492
55.7,1.0484
55.75,1.0477
55.8,1.0469
55.85,1.0462
55.9,1.0454
55.95,1.0446
56.0,1.0439
56.05,1.0431
56.1,1.0424
56.15,1.0417
56.2,1.041
56.25,1.0402
56.3,1.0394
56.35,1.0387
56.4,1.038
56.45,1.0372
56.5,1.0365
56.55,1.0357
56.6,1.035
56.65,1.0342
56.7,1.0335
56.75,1.0326
56.8,1.0321
56.85,1.0313
56.9,1.0306
56.95,1.0299
57.0,1.0292
57.05,1.0284
57.1,1.0277
57.15,1.027
57.2,1.0263
57.25,1.0255
57.3,1.0248
57.35,1.0241
57.4,1.0234
57.45,1.0227
57.5,1.022
57.55,1.0212
57.6,1.0205
57.65,1.0198
57.7,1.0191
57.75,1.0184
57.8,1.0177
57.85,1.017
57.9,1.0163
57.95,1.0156
58.0,1.0149
58.05,1.0142
58.1,1.0135
58.15,1.0127
58.2,1.012
58.25,1.0113
58.3,1.0107
58.35,1.01
58.4,1.0093
58.45,1.0086
58.5,1.0079
58.55,1.0072
58.6,1.0065
58.65,1.0058
58.7,1.0051
58.75,1.0044
58.8,1.0037
58.85,1.003
58.9,1.0024
58.95,1.0017
59.0,1.001
59.05,1.0003
59.1,0.9997
59.15,0.99902
59.2,0.99835
59.25,0.99765
59.3,0.99695
59.35,0.99627
59.4,0.9956
59.45,0.99492
59.5,0.99425
59.55,0.99332
59.6,0.99295
59.65,0.99227
59.7,0.9916
59.75,0.99095
59.8,0.9903
59.85,0.9896
59.9,0.9889
59.95,0.98825
60.0,0.9876
60.05,0.98692
60.1,0.98625
60.15,0.9856
60.2,0.98495
60.25,0.98432
60.3,0.9837
60.35,0.98305
60.4,0.9824
60.45,0.98175
60.5,0.9811
60.55,0.98042
60.6,0.97975
60.65,0.9791
60.7,0.97845
60.75,0.9778
60.8,0.97715
60.85,0.97652
60.9,0.9759
60.95,0.97525
61.0,0.9746
61.05,0.97397
61.1,0.97335
61.15,0.97272
61.2,0.9721
61.25,0.97145
61.3,0.9708
61.35,0.97015
61.4,0.9695
61.45,0.9689
61.5,0.9683
61.55,0.96765
61.6,0.967
61.65,0.96637
