Weight,Coefficient
40.0,1.32435
40.05,1.32225
40.1,1.32015
40.15,1.31807
40.2,1.316
40.25,1.3139
40.3,1.3118
40.35,1.30972
40.4,1.30765
40.45,1.3056
40.5,1.30355
40.55,1.3015
40.6,1.29945
40.65,1.29742
40.7,1.2954
40.75,1.2934
40.8,1.2914
40.85,1.2894
40.9,1.2874
40.95,1.2854
41.0,1.2834
41.05,1.28142
41.1,1.27945
41.15,1.27747
41.2,1.2755
41.25,1.27355
41.3,1.2716
41.35,1.26967
41.4,1.26775
41.45,1.26582
41.5,1.2639
41.55,1.26197
41.6,1.26005
41.65,1.25815
41.7,1.25625
41.75,1.25435
41.8,1.25245
41.85,1.25057
41.9,1.2487
41.95,1.24685
42.0,1.245
42.05,1.24312
42.1,1.24125
42.15,1.23942
42.2,1.2376
42.25,1.23575
42.3,1.2339
42.35,1.2321
42.4,1.2303
42.45,1.22847
42.5,1.22665
42.55,1.22487
42.6,1.2231
42.65,1.22132
42.7,1.21955
42.75,1.21777
42.8,1.216
42.85,1.21425
42.9,1.2125
42.95,1.21075
43.0,1.209
43.05,1.20725
43.1,1.2055
43.15,1.20375
43.2,1.202
43.25,1.2003
43.3,1.1986
43.35,1.19687
43.4,1.19515
43.45,1.19345
43.5,1.19175
43.55,1.1901
43.6,1.18845
43.65,1.18675
43.7,1.18505
43.75,1.18337
43.8,1.1817
43.85,1.18005
43.9,1.1784
43.95,1.17677
44.0,1.17515
44.05,1.1735
44.1,1.17185
44.15,1.17022
44.2,1.1686
44.25,1.16697
44.3,1.16535
44.35,1.16375
44.4,1.16215
44.45,1.16057
44.5,1.159
44.55,1.1574
44.6,1.1558
44.65,1.15422
44.7,1.15265
44.75,1.15107
44.8,1.1495
44.85,1.14797
44.9,1.14645
44.95,1.14487
45.0,1.1433
45.05,1.14177
45.1,1.14025
45.15,1.13872
45.2,1.1372
45.25,1.13567
45.3,1.13415
45.35,1.13262
45.4,1.1311
45.45,1.12962
45.5,1.12815
45.55,1.12662
45.6,1.1251
45.65,1.12362
45.7,1.12215
45.75,1.12067
45.8,1.1192
45.85,1.11775
45.9,1.1163
45.95,1.11485
46.0,1.1134
46.05,1.11195
46.1,1.1105
46.15,1.10907
46.2,1.10765
46.25,1.1062
46.3,1.10475
46.35,1.10332
46.4,1.1019
46.45,1.10047
46.5,1.09905
46.55,1.09767
46.6,1.0963
46.65,1.09487
46.7,1.09345
46.75,1.09207
46.8,1.0907
46.85,1.0893
46.9,1.0879
46.95,1.08655
47.0,1.0852
47.05,1.08382
47.1,1.08245
47.15,1.0811
47.2,1.07975
47.25,1.0784
47.3,1.07705
47.35,1.0757
47.4,1.07435
47.45,1.07302
47.5,1.0717
47.55,1.0704
47.6,1.0691
47.65,1.06777
47.7,1.06645
47.75,1.06515
47.8,1.06385
47.85,1.06252
47.9,1.0612
47.95,1.0599
48.0,1.0586
48.05,1.05732
48.1,1.05605
48.15,1.05475
48.2,1.05345
48.25,1.0522
48.3,1.05095
48.35,1.04967
48.4,1.0484
48.45,1.04715
48.5,1.0459
48.55,1.04465
48.6,1.0434
48.65,1.04217
48.7,1.04095
48.75,1.0397
48.8,1.03845
48.85,1.03722
48.9,1.036
48.95,1.03477
49.0,1.03355
49.05,1.03235
49.1,1.03115
49.15,1.02992
49.2,1.0287
49.25,1.0275
49.3,1.0263
49.35,1.0251
49.4,1.0239
49.45,1.02272
49.5,1.02155
49.55,1.02035
49.6,1.01915
49.65,1.018
49.7,1.01685
49.75,1.01567
49.8,1.0145
49.85,1.01335
49.9,1.0122
49.95,1.01105
50.0,1.0099
50.05,1.00875
50.1,1.0076
50.15,1.00647
50.2,1.00535
50.25,1.0042
50.3,1.00305
50.35,1.00192
50.4,1.0008
50.45,0.99967
50.5,0.99855
50.55,0.99745
50.6,0.99635
50.65,0.99522
50.7,0.9941
50.75,0.993
50.8,0.9919
50.85,0.9908
50.9,0.9897
50.95,0.9886
51.0,0.9875
51.05,0.98642
51.1,0.98535
51.15,0.9843
51.2,0.98325
51.25,0.98215
51.3,0.98105
51.35,0.97997
51.4,0.9789
51.45,0.97785
51.5,0.9768
51.55,0.97575
51.6,0.9747
51.65,0.97367
51.7,0.97265
51.75,0.9716
51.8,0.97055
51.85,0.9695
51.9,0.96845
51.95,0.96742
52.0,0.9664
52.05,0.96537
52.1,0.96435
52.15,0.96332
52.2,0.9623
52.25,0.9613
52.3,0.9603
52.35,0.9593
52.4,0.9583
52.45,0.95727
52.5,0.95625
52.55,0.95525
52.6,0.95425
52.65,0.95325
52.7,0.95225
52.75,0.95127
52.8,0.9503
52.85,0.94932
52.9,0.94835
52.95,0.94737
53.0,0.9464
53.05,0.94542
53.1,0.94445
53.15,0.94327
53.2,0.9425
53.25,0.94155
53.3,0.9406
53.35,0.93965
53.4,0.9387
53.45,0.938
53.5,0.9373
53.55,0.9361
53.6,0.9349
53.65,0.93397
53.7,0.93305
53.75,0.9321
53.8,0.93115
53.85,0.93025
53.9,0.92935
53.95,0.92842
54.0,0.9275
54.05,0.92657
54.1,0.92565
54.15,0.92475
54.2,0.92385
54.25,0.92292
54.3,0.922
54.35,0.9211
54.4,0.9202
54.45,0.9193
54.5,0.9184
54.55,0.9175
54.6,0.9166
54.65,0.9157
54.7,0.9148
54.75,0.91392
54.8,0.91305
54.85,0.91217
54.9,0.9113
54.95,0.91042
55.0,0.90955
55.05,0.90867
55.1,0.9078
55.15,0.90692
55.2,0.90605
55.25,0.9052
55.3,0.90435
55.35,0.9035
55.4,0.90265
55.45,0.9018
55.5,0.90095
55.55,0.9001
55.6,0.89925
55.65,0.89842
55.7,0.8976
55.75,0.89672
55.8,0.89585
55.85,0.89502
55.9,0.8942
55.95,0.89337
56.0,0.89255
56.05,0.89175
56.1,0.89095
56.15,0.89012
56.2,0.8893
56.25,0.88847
56.3,0.88765
56.35,0.88685
56.4,0.88605
56.45,0.88522
56.5,0.8844
56.55,0.8836
56.6,0.8828
56.65,0.882
56.7,0.8812
56.75,0.8804
56.8,0.8796
56.85,0.8788
56.9,0.87805
56.95,0.87725
57.0,0.87645
57.05,0.87567
57.1,0.8749
57.15,0.87412
57.2,0.87335
57.25,0.87257
57.3,0.8718
57.35,0.87102
57.4,0.87025
57.45,0.86947
57.5,0.8687
57.55,0.86792
57.6,0.86715
57.65,0.8664
57.7,0.86565
57.75,0.8649
57.8,0.86415
57.85,0.8634
57.9,0.86265
57.95,0.86192
58.0,0.8612
58.05,0.86042
58.1,0.85965
58.15,0.85892
58.2,0.8582
58.25,0.85747
58.3,0.85675
58.35,0.85602
58.4,0.8553
58.45,0.85455
58.5,0.8538
58.55,0.85307
58.6,0.85235
58.65,0.85165
58.7,0.85095
58.75,0.85022
58.8,0.8495
58.85,0.84877
58.9,0.84805
58.95,0.84735
59.0,0.84665
59.05,0.84595
59.1,0.84525
59.15,0.84455
59.2,0.84385
59.25,0.84315
59.3,0.84245
59.35,0.84175
59.4,0.84105
59.45,0.84035
59.5,0.83965
59.55,0.83897
59.6,0.8383
59.65,0.8376
59.7,0.8369
59.75,0.83622
59.8,0.83555
59.85,0.83487
59.9,0.8342
59.95,0.83352
60.0,0.83285
60.05,0.83217
60.1,0.8315
60.15,0.83085
60.2,0.8302
60.25,0.82952
60.3,0.82885
60.35,0.82817
60.4,0.8275
60.45,0.82687
60.5,0.82625
60.55,0.82557
60.6,0.8249
60.65,0.82425
60.7,0.8236
60.75,0.82295
60.8,0.8223
60.85,0.82167
60.9,0.82105
60.95,0.8204
61.0,0.81975
61.05,0.8191
61.1,0.81845
61.15,0.81782
61.2,0.8172
61.25,0.81655
61.3,0.8159
61.35,0.81527
61.4,0.81465
61.45,0.81402
61.5,0.8134
61.55,0.8128
61.6,0.8122
61.65,0.81157
61.7,0.81095
61.75,0.81032
61.8,0.8097
61.85,0.80907
61.9,0.80845
61.95,0.80785
62.0,0.80725
62.05,0.80665
62.1,0.80605
62.15,0.80545
62.2,0.80485
62.25,0.80422
62.3,0.8036
62.35,0.80302
62.4,0.80245
62.45,0.80185
62.5,0.80125
62.55,0.80065
62.6,0.80005
62.65,0.79945
62.7,0.79885
62.75,0.79827
62.8,0.7977
62.85,0.79712
62.9,0.79655
62.95,0.79595
63.0,0.79535
63.05,0.79477
63.1,0.7942
63.15,0.79362
63.2,0.79305
63.25,0.7925
63.3,0.79195
63.35,0.79137
63.4,0.7908
63.45,0.79022
63.5,0.78965
63.55,0.7891
63.6,0.78855
63.65,0.78797
63.7,0.7874
63.75,0.78682
63.8,0.78625
63.85,0.7857
63.9,0.78515
63.95,0.78462
64.0,0.7841
64.05,0.78352
